group_level,principal_label,principal_token_context,page_surface,section,subsection,item_type,item_key,item_label,permission_token,default_state,visibility_rule,notes
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Home,Authority Summary,Core Capabilities,capability,issue_id_keypair,Issue ID Keypair,principal.id_keypair.issue,allow,always-visible,Owner/Tenant admin intrinsic allow
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Home,Authority Summary,Core Capabilities,capability,rotate_id_keypair,Rotate ID Keypair,principal.id_keypair.rotate,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Home,Authority Summary,Core Capabilities,capability,revoke_id_keypair,Revoke ID Keypair,principal.id_keypair.revoke,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Home,Authority Summary,Core Capabilities,capability,issue_utility_keypair,Issue Utility Keypair,principal.utility_keypair.issue,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Delegation & Permissions,Envelope Composer,Grant Controls,permission,create_delegation_grant,Create Delegation Grant,delegation.grant.create,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Delegation & Permissions,Envelope Composer,Grant Controls,permission,revoke_delegation_grant,Revoke Delegation Grant,delegation.grant.revoke,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,Delegation & Permissions,Envelope Composer,Grant Controls,permission,inspect_delegation_grants,Inspect Delegation Grants,delegation.grant.inspect,allow,always-visible,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,ID Keypair Minting,Permission Envelope Baseline,Provisioning Locks,permission,lock_primary_template,Primary Issue Locked Template,permission.provisioning.primary_author.issue_locked_template,optional,show-advanced,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,ID Keypair Minting,Permission Envelope Baseline,Provisioning Locks,permission,lock_secondary_template,Secondary Issue Locked Template,permission.provisioning.secondary_author.issue_locked_template,optional,show-advanced,
1,Owner,ROOT_ADMIN|TENANT_ADMIN,ID Keypair Minting,Permission Envelope Baseline,Provisioning Locks,permission,lock_use_template,Use Key Issue Locked Template,permission.provisioning.use_key.issue_locked_template,optional,show-advanced,
